category,department,expense_category,expense_name,amount
General Government,HR,Salary & Benefits,SALARIES & WAGES-HR,261647
General Government,HR,Salary & Benefits,WRS,18881
General Government,HR,Software and Contracted Services,OTHER CONTRACTUAL SERVICES,8000
General Government,HR,Software and Contracted Services,PROFESSIONAL SERVICES,1625
General Government,HR,Software and Contracted Services,RECRUITMENT & TEST - FD,8440
General Government,HR,Software and Contracted Services,RECRUITMENT & TEST - GEN,4340
General Government,HR,Software and Contracted Services,RECRUITMENT & TEST - HIGHWAY,1815
General Government,HR,Software and Contracted Services,RECRUITMENT & TEST - PD,13800
General Government,HR,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",29060
General Government,HR,"Training,Travel, Tuition",TRAINING & TRAVEL,4230
General Government,HR,"Training,Travel, Tuition",TUITION REIMBURSEMENT,1505
General Government,HR,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,245
General Government,Interdepartmental,Contingency,CONTINGENCY - DESIGNATED,9000
General Government,Interdepartmental,Contingency,CONTINGENCY - UNDESIGNATED,25000
General Government,Interdepartmental,Debt Collection,BAD DEBT EXPENSE,3000
General Government,Interdepartmental,Debt Collection,DEBT COLLECTION EXPENSE,2000
General Government,Interdepartmental,General Office,EMPLOYEE RECOG & MEMORIALS,5050
General Government,Interdepartmental,General Office,OFFICE SUPPLIES - INTERDEPT,12000
General Government,Interdepartmental,General Office,SAFETY & HEALTH PROGRAMS,100
General Government,Interdepartmental,General Office,SPECIAL ASSESSMENTS-CITY,30
General Government,Interdepartmental,Salary & Benefits,EMPLOYEE RETIREMENT RESERVE,160000
General Government,Interdepartmental,Salary & Benefits,FICA,12240
General Government,Legal,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,600
General Government,Legal,General Office,PUBLICATIONS & DUES,5375
General Government,Legal,IT Expenses,IT CAPITAL ISF ALLOCATION,305
General Government,Legal,IT Expenses,IT OPERATING ISF ALLOCATION,6200
General Government,Legal,Insurance Expenses,INSURANCE ISF ALLOCATION,1520
General Government,Legal,Outside Legal Counsel,OUTSIDE LEGAL COUNSEL,50000
General Government,Legal,Salary & Benefits,DENTAL INS,1412
General Government,Legal,Salary & Benefits,DISABILITY INS,400
General Government,Legal,Salary & Benefits,FICA,12177
General Government,Legal,Salary & Benefits,HEALTH INS,26624
General Government,Legal,Salary & Benefits,LIFE INS,153
General Government,Legal,Salary & Benefits,SALARIES & WAGES - LEGAL DEPT,159172
General Government,Legal,Salary & Benefits,WRS,11460
General Government,Legal,"Training,Travel, Tuition",TRAINING & TRAVEL,5200
General Government,Legal,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,560
General Government,Mayor & Council,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,1650
General Government,Mayor & Council,General Office,OFFICE SUPPLIES & POSTAGE,500
General Government,Mayor & Council,General Office,PUBLIC INFORMATION & EDUCATION,1500
General Government,Mayor & Council,General Office,PUBLICATIONS & DUES,20550
General Government,Mayor & Council,IT Expenses,IT CAPITAL ISF ALLOCATION,305
General Government,Mayor & Council,IT Expenses,IT OPERATING ISF ALLOCATION,9720
General Government,Mayor & Council,Insurance Expenses,INSURANCE ISF ALLOCATION,545
General Government,Mayor & Council,Salary & Benefits,FICA,3863
General Government,Mayor & Council,Salary & Benefits,PER DIEMS - YOUTH COMM,1680
General Government,Mayor & Council,Salary & Benefits,SALARIES & WAGES - MAYOR & CC,50500
General Government,Mayor & Council,"Training,Travel, Tuition",TRAINING & TRAVEL,5450
General Government,Mayor & Council,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,110
General Government,Municipal Court,Election Costs,OTHER - DOT SUSPENSION FEES,2000
General Government,Municipal Court,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,2600
General Government,Municipal Court,General Office,OFFICE SUPPLIES & POSTAGE,3730
General Government,Municipal Court,General Office,PUBLICATIONS & DUES,260
General Government,Municipal Court,IT Expenses,IT CAPITAL ISF ALLOCATION,915
General Government,Municipal Court,IT Expenses,IT OPERATING ISF ALLOCATION,18155
General Government,Municipal Court,Insurance Expenses,INSURANCE ISF ALLOCATION,1315
General Government,Municipal Court,Salary & Benefits,DENTAL INS,2118
General Government,Municipal Court,Salary & Benefits,DISABILITY INS,400
General Government,Municipal Court,Salary & Benefits,FICA,11243
General Government,Municipal Court,Salary & Benefits,HEALTH INS,26624
General Government,Municipal Court,Salary & Benefits,LIFE INS,236
General Government,Municipal Court,Salary & Benefits,LONGEVITY BENEFIT,900
General Government,Municipal Court,Salary & Benefits,PT/LTE/SEASONAL WAGES,6139
General Government,Municipal Court,Salary & Benefits,SALARIES & WAGES - MUN COURT,139932
General Government,Municipal Court,Salary & Benefits,WRS,6447
General Government,Municipal Court,Software and Contracted Services,OTHER CONTRACTUAL SERVICES,3000
General Government,Municipal Court,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",205
General Government,Municipal Court,"Training,Travel, Tuition",TRAINING & TRAVEL,2285
General Government,Municipal Court,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,300
General Government,Sustainability,Equipment Materials & Supplies,OPERATING MATERIALS & SUPP,900
General Government,Sustainability,General Office,PUBLIC INFORMATION & EDUCATION,100
General Government,Sustainability,General Office,"PUBLICATIONS, DUES",475
General Government,Sustainability,IT Expenses,IT CAPITAL ISF ALLOCATION,150
General Government,Sustainability,IT Expenses,IT OPERATING ISF ALLOCATION,3255
General Government,Sustainability,Insurance Expenses,INSURANCE ISF ALLOCATION,1438
General Government,Sustainability,Salary & Benefits,DENTAL INS,709
General Government,Sustainability,Salary & Benefits,DISABILITY INS,201
General Government,Sustainability,Salary & Benefits,FICA,3125
General Government,Sustainability,Salary & Benefits,LIFE INS,39
General Government,Sustainability,Salary & Benefits,PER DIEMS - COMMISSIONS & BDS,1200
General Government,Sustainability,Salary & Benefits,SALARIES & WAGES-SUSTAINABILIT,40855
General Government,Sustainability,Salary & Benefits,WRS,2942
General Government,Sustainability,Software and Contracted Services,PROFESSIONAL SERVICES,3000
General Government,Sustainability,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",250
General Government,Sustainability,"Training,Travel, Tuition",TRAINING & TRAVEL,1000
General Government,Sustainability,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,280
Parks & Recreation,Forestry,Equipment Materials & Supplies,EQUIPMENT EXPENSE,1150
Parks & Recreation,Forestry,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,4700
Parks & Recreation,Forestry,Gasoline and Fuel,GASOLINE/DIESEL FUEL,500
Parks & Recreation,Forestry,General Office,OFFICE SUPPLIES & POSTAGE,200
Parks & Recreation,Forestry,General Office,"PUBLICATIONS, DUES",500
Parks & Recreation,Forestry,IT Expenses,IT CAPITAL ISF ALLOCATION,610
Parks & Recreation,Forestry,IT Expenses,IT OPERATING ISF ALLOCATION,13570
Parks & Recreation,Forestry,Insurance Expenses,INSURANCE ISF ALLOCATION,2880
Parks & Recreation,Forestry,Salary & Benefits,DENTAL INS,1412
Parks & Recreation,Forestry,Salary & Benefits,DISABILITY INS,400
Parks & Recreation,Forestry,Salary & Benefits,FICA,7828
Parks & Recreation,Forestry,Salary & Benefits,HEALTH INS,26624
Parks & Recreation,Forestry,Salary & Benefits,LIFE INS,249
Parks & Recreation,Forestry,Salary & Benefits,LTE/SEASONAL WAGES,7985
Parks & Recreation,Forestry,Salary & Benefits,PER DIEMS - TREE ADVISORY COMM,1200
Parks & Recreation,Forestry,Salary & Benefits,SALARIES & WAGES - FORESTRY,94338
Parks & Recreation,Forestry,Salary & Benefits,WRS,6792
Parks & Recreation,Forestry,Software and Contracted Services,OTHER CONTRACTUAL,44000
Parks & Recreation,Forestry,Software and Contracted Services,PUBLIC NOTICES/ADS,400
Parks & Recreation,Forestry,"Training,Travel, Tuition",TRAINING & TRAVEL,1500
Parks & Recreation,Forestry,Vehicle Expense,"VEHICLE EXPENSE (G&O, REPAIRS)",500
Parks & Recreation,Parks Department,Equipment Materials & Supplies,BUILDING REPAIRS & MAINTENANCE,22150
Parks & Recreation,Parks Department,Equipment Materials & Supplies,EQUIPMENT EXPENSE,12550
Parks & Recreation,Parks Department,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,17300
Parks & Recreation,Parks Department,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,41750
Parks & Recreation,Parks Department,Equipment Replacement Reserve,EQUIPMENT REPLACEMENT RESERVE,5695
Parks & Recreation,Parks Department,Gasoline and Fuel,GASOLINE/DIESEL FUEL,34000
Parks & Recreation,Parks Department,General Office,LEASE/RENTAL COSTS,2500
Parks & Recreation,Parks Department,General Office,OFFICE SUPPLIES & POSTAGE,550
Parks & Recreation,Parks Department,General Office,"PUBLICATIONS, DUES",250
Parks & Recreation,Parks Department,Golf Course Maintenance,GOLF COURSE MAINTENANCE,56000
Parks & Recreation,Parks Department,IT Expenses,IT CAPITAL ISF ALLOCATION,3585
Parks & Recreation,Parks Department,IT Expenses,IT OPERATING ISF ALLOCATION,55030
Parks & Recreation,Parks Department,Insurance Expenses,INSURANCE ISF ALLOCATION,37534
Parks & Recreation,Parks Department,Salary & Benefits,DENTAL INS,8499
Parks & Recreation,Parks Department,Salary & Benefits,DISABILITY INS,2773
Parks & Recreation,Parks Department,Salary & Benefits,FICA,51502
Parks & Recreation,Parks Department,Salary & Benefits,HEALTH INS,160255
Parks & Recreation,Parks Department,Salary & Benefits,LIFE INS,2317
Parks & Recreation,Parks Department,Salary & Benefits,LONGEVITY,3682
Parks & Recreation,Parks Department,Salary & Benefits,LTE/SEASONAL WAGES,61163
Parks & Recreation,Parks Department,Salary & Benefits,OVERTIME,25602
Parks & Recreation,Parks Department,Salary & Benefits,PARKS ON CALL PAY,10661
Parks & Recreation,Parks Department,Salary & Benefits,PER DIEMS - PARKS COMMISSION,2220
Parks & Recreation,Parks Department,Salary & Benefits,Parks Holiday Premium,6072
Parks & Recreation,Parks Department,Salary & Benefits,SALARIES & WAGES - PARKS DEPT,566054
Parks & Recreation,Parks Department,Salary & Benefits,WRS,43567
Parks & Recreation,Parks Department,Software and Contracted Services,OTHER CONTRACTUAL,139000
Parks & Recreation,Parks Department,Software and Contracted Services,PUBLIC NOTICES/ADS,750
Parks & Recreation,Parks Department,"Training,Travel, Tuition",TRAINING & TRAVEL,7875
Parks & Recreation,Parks Department,Uniforms & Protective Gear,UNIFORMS & PROTECTIVE GEAR,9300
Parks & Recreation,Parks Department,Utilities,UTIL (SHELTERS) & TELEPHONE,62000
Parks & Recreation,Parks Department,Vehicle Expense,"VEHICLE EXPENSE (G&O, REPAIRS)",7000
Parks & Recreation,Recreation & Leisure,Gasoline and Fuel,GASOLINE/DIESEL FUEL,525
Parks & Recreation,Recreation & Leisure,General Office,OFFICE SUPPLIES & POSTAGE,275
Parks & Recreation,Recreation & Leisure,General Office,PUBLIC INFORMATION & EDUCATION,5200
Parks & Recreation,Recreation & Leisure,General Office,"PUBLICATIONS, DUES",800
Parks & Recreation,Recreation & Leisure,IT Expenses,IT CAPITAL ISF ALLOCATION,1790
Parks & Recreation,Recreation & Leisure,IT Expenses,IT OPERATING ISF ALLOCATION,21315
Parks & Recreation,Recreation & Leisure,Insurance Expenses,INSURANCE ISF ALLOCATION,8370
Parks & Recreation,Recreation & Leisure,Program Expenses,RECREATION PROGRAMS EXPENSE,30000
Parks & Recreation,Recreation & Leisure,Salary & Benefits,DENTAL INS,1923
Parks & Recreation,Recreation & Leisure,Salary & Benefits,DISABILITY INS,753
Parks & Recreation,Recreation & Leisure,Salary & Benefits,FICA,16910
Parks & Recreation,Recreation & Leisure,Salary & Benefits,HEALTH INS,37457
Parks & Recreation,Recreation & Leisure,Salary & Benefits,LIFE INS,296
Parks & Recreation,Recreation & Leisure,Salary & Benefits,LONGEVITY,765
Parks & Recreation,Recreation & Leisure,Salary & Benefits,OVERTIME,2466
Parks & Recreation,Recreation & Leisure,Salary & Benefits,PT/LTE/SEASONAL WAGES,65809
Parks & Recreation,Recreation & Leisure,Salary & Benefits,SALARIES & WAGES - RECREATION,152002
Parks & Recreation,Recreation & Leisure,Salary & Benefits,WRS,11177
Parks & Recreation,Recreation & Leisure,Software and Contracted Services,OTHER CONTRACTUAL SERVICES,70000
Parks & Recreation,Recreation & Leisure,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",5500
Parks & Recreation,Recreation & Leisure,"Training,Travel, Tuition",TRAINING & TRAVEL,1400
Parks & Recreation,Recreation & Leisure,Vehicle Expense,VEHICLE OPERATING EXPENSE,500
Planning,Economic Development,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,1250
Planning,Economic Development,General Office,COMMUNICATIONS EXPENSE,410
Planning,Economic Development,General Office,OFFICE SUPPLIES & POSTAGE,1675
Planning,Economic Development,General Office,"PUBLICATIONS, DUES",2095
Planning,Economic Development,IT Expenses,IT CAPITAL ISF ALLOCATION,915
Planning,Economic Development,IT Expenses,IT OPERATING ISF ALLOCATION,25410
Planning,Economic Development,Insurance Expenses,INSURANCE ISF ALLOCATION,9735
Planning,Economic Development,Salary & Benefits,DENTAL INS,3336
Planning,Economic Development,Salary & Benefits,DISABILITY INS,1200
Planning,Economic Development,Salary & Benefits,EDC Holiday Premium,209
Planning,Economic Development,Salary & Benefits,FICA,26342
Planning,Economic Development,Salary & Benefits,HEALTH INS,64081
Planning,Economic Development,Salary & Benefits,LIFE INS,1733
Planning,Economic Development,Salary & Benefits,LONGEVITY,2610
Planning,Economic Development,Salary & Benefits,PER DIEMS - ECON DEV COMM,1080
Planning,Economic Development,Salary & Benefits,SALARIES & WAGES - EDC,341520
Planning,Economic Development,Salary & Benefits,WRS,24792
Planning,Economic Development,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",1440
Planning,Economic Development,"Training,Travel, Tuition",TRAINING & TRAVEL,3175
Planning,Economic Development,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,840
Planning,Zoning & Planning,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,500
Planning,Zoning & Planning,General Office,OFFICE SUPPLIES & POSTAGE,1600
Planning,Zoning & Planning,General Office,PUBLIC INFORMATION & EDUCATION,1000
Planning,Zoning & Planning,General Office,"PUBLICATIONS, DUES",3600
Planning,Zoning & Planning,IT Expenses,IT CAPITAL ISF ALLOCATION,1220
Planning,Zoning & Planning,IT Expenses,IT OPERATING ISF ALLOCATION,32255
Planning,Zoning & Planning,Insurance Expenses,INSURANCE ISF ALLOCATION,2920
Planning,Zoning & Planning,Salary & Benefits,DENTAL INS,3336
Planning,Zoning & Planning,Salary & Benefits,DISABILITY INS,1129
Planning,Zoning & Planning,Salary & Benefits,FICA,25337
Planning,Zoning & Planning,Salary & Benefits,HEALTH INS,64081
Planning,Zoning & Planning,Salary & Benefits,LIFE INS,752
Planning,Zoning & Planning,Salary & Benefits,OVERTIME,7270
Planning,Zoning & Planning,Salary & Benefits,PER DIEMS - COMMISSIONS & BDS,4090
Planning,Zoning & Planning,Salary & Benefits,PT/LTE/SEASONAL WAGES,12698
Planning,Zoning & Planning,Salary & Benefits,SALARIES & WAGES - PLANNING,311240
Planning,Zoning & Planning,Salary & Benefits,WRS,22933
Planning,Zoning & Planning,Software and Contracted Services,PROFESSIONAL SERVICES,5000
Planning,Zoning & Planning,Software and Contracted Services,PUBLIC NOTICES/ADS,6000
Planning,Zoning & Planning,"Training,Travel, Tuition",TRAINING & TRAVEL,8400
Planning,Zoning & Planning,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,700
Police,Police Department,Equipment Materials & Supplies,BLDG CUSTODIAL SUPPLIES,8000
Police,Police Department,Equipment Materials & Supplies,EQUIPMENT EXPENSE,15000
Police,Police Department,Equipment Materials & Supplies,EQUIPMENT EXPENSE,13500
Police,Police Department,Equipment Materials & Supplies,INVESTIGATIVE SUPPLIES,22700
Police,Police Department,Equipment Materials & Supplies,K-9 UNIT,1800
Police,Police Department,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,29750
Police,Police Department,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,500
Police,Police Department,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,2500
Police,Police Department,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,1000
Police,Police Department,Equipment Replacement Reserve,EQUIPMENT REPLACEMENT RESERVE,31588
Police,Police Department,Gasoline and Fuel,GASOLINE/DIESEL FUEL,133000
Police,Police Department,General Office,COMMUNICATIONS EXPENSE,3000
Police,Police Department,General Office,OFFICE SUPPLIES & POSTAGE,13000
Police,Police Department,General Office,PUBLIC INFORMATION & EDUCATION,12500
Police,Police Department,General Office,"PUBLICATIONS, DUES",2500
Police,Police Department,IT Expenses,IT CAPITAL ISF ALLOCATION,29550
Police,Police Department,IT Expenses,IT OPERATING ISF ALLOCATION,3880
Police,Police Department,IT Expenses,IT OPERATING ISF ALLOCATION,454030
Police,Police Department,Insurance Expenses,INSURANCE ISF ALLOCATION,33657
Police,Police Department,Insurance Expenses,INSURANCE ISF ALLOCATION,201385
Police,Police Department,MPSIS,MPSIS ALLOCATION,184795
Police,Police Department,Salary & Benefits,DENTAL INS,1412
Police,Police Department,Salary & Benefits,DENTAL INS,73648
Police,Police Department,Salary & Benefits,DISABILITY INS,329
Police,Police Department,Salary & Benefits,DISABILITY INS,25325
Police,Police Department,Salary & Benefits,FICA,4056
Police,Police Department,Salary & Benefits,FICA,502227
Police,Police Department,Salary & Benefits,FTO DIFFERENTIAL,2000
Police,Police Department,Salary & Benefits,HEALTH INS,26624
Police,Police Department,Salary & Benefits,HEALTH INS,1355609
Police,Police Department,Salary & Benefits,HOLIDAY PREMIUM,34988
Police,Police Department,Salary & Benefits,LIFE INS,76
Police,Police Department,Salary & Benefits,LIFE INS,8866
Police,Police Department,Salary & Benefits,LONGEVITY,11385
Police,Police Department,Salary & Benefits,ON CALL PAY,6070
Police,Police Department,Salary & Benefits,OVERTIME,3566
Police,Police Department,Salary & Benefits,OVERTIME,462687
Police,Police Department,Salary & Benefits,PT/LTE/SEASONAL WAGES,9924
Police,Police Department,Salary & Benefits,SALARIES & WAGES - POLICE,5997501
Police,Police Department,Salary & Benefits,SALARIES & WAGES-PD FACILITY,49454
Police,Police Department,Salary & Benefits,TAXABLE CLOTH ALLOW/STIPEND,40500
Police,Police Department,Salary & Benefits,WRS,3817
Police,Police Department,Salary & Benefits,WRS,910030
Police,Police Department,Software and Contracted Services,OTHER CONTRACTUAL SERVICES,750
Police,Police Department,Software and Contracted Services,OTHER CONTRACTUAL/CROSS GUARDS,5000
Police,Police Department,Software and Contracted Services,PROFESSIONAL SERVICES,40800
Police,Police Department,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,7000
Police,Police Department,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,39200
Police,Police Department,Software and Contracted Services,REPAIRS & MAINT - BY OTHERS,4300
Police,Police Department,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",30050
Police,Police Department,"Training,Travel, Tuition",TRAINING & TRAVEL,58500
Police,Police Department,"Training,Travel, Tuition",TUITION REIMBURSEMENT,1360
Police,Police Department,"Training,Travel, Tuition",YMCA MEMBERSHIP,8475
Police,Police Department,Uniforms & Protective Gear,PROTECTIVE GEAR,26925
Police,Police Department,Uniforms & Protective Gear,UNIFORMS & PROTECTIVE GEAR,400
Police,Police Department,Uniforms & Protective Gear,UNIFORMS & PROTECTIVE GEAR,900
Police,Police Department,Utilities,UTILITIES,3200
Police,Police Department,Utilities,UTILITIES,105000
Police,Police Department,Vehicle Expense,"VEHICLE EXPENSE (G&O, REPAIRS)",55000
Public Works,Public Safety,Equipment Materials & Supplies,OPERATING MATERIALS & SUPPLIES,1500
Public Works,Public Safety,Equipment Materials & Supplies,REPAIR & MAINT SUPPLIES,42200
Public Works,Public Safety,Gasoline and Fuel,GASOLINE/DIESEL FUEL,71300
Public Works,Public Safety,General Office,COMMUNICATIONS EXPENSE,1500
Public Works,Public Safety,General Office,OFFICE SUPPLIES & POSTAGE,2100
Public Works,Public Safety,General Office,"PUBLICATIONS, DUES",10510
Public Works,Public Safety,IT Expenses,IT CAPITAL ISF ALLOCATION,5190
Public Works,Public Safety,IT Expenses,IT OPERATING ISF ALLOCATION,149875
Public Works,Public Safety,Insurance Expenses,INSURANCE ISF ALLOCATION,78964
Public Works,Public Safety,Road Maintenance,ROAD MAINTENANCE,403650
Public Works,Public Safety,Road Maintenance,ROADWAY SUPPLIES,179630
Public Works,Public Safety,Salary & Benefits,DENTAL INS,14582
Public Works,Public Safety,Salary & Benefits,DISABILITY INS,5352
Public Works,Public Safety,Salary & Benefits,FICA,89356
Public Works,Public Safety,Salary & Benefits,HEALTH INS,268479
Public Works,Public Safety,Salary & Benefits,LIFE INS,3064
Public Works,Public Safety,Salary & Benefits,LONGEVITY,4195
Public Works,Public Safety,Salary & Benefits,OVERTIME,56766
Public Works,Public Safety,Salary & Benefits,PER DIEMS - BD OF PUBLIC WKS,3050
Public Works,Public Safety,Salary & Benefits,PT/LTE/SEASONAL WAGES,13468
Public Works,Public Safety,Salary & Benefits,PW Holiday Premium,5838
Public Works,Public Safety,Salary & Benefits,PW ON CALL PAY,10661
Public Works,Public Safety,Salary & Benefits,SALARIES & WAGES - PUBLIC WKS,1077117
Public Works,Public Safety,Salary & Benefits,WRS,83049
Public Works,Public Safety,Software and Contracted Services,PROFESSIONAL SERVICES,10880
Public Works,Public Safety,Software and Contracted Services,PUBLIC NOTICES/ADS,1100
Public Works,Public Safety,Software and Contracted Services,"SOFTWARE, SUBSCRIPTIONS, MAINT",32350
Public Works,Public Safety,Street Light/Traffic Signal Service,POLES & LIGHTS REPLACE STOCK,22500
Public Works,Public Safety,Street Light/Traffic Signal Service,STREET LIGHT MAINTENANCE,30000
Public Works,Public Safety,Street Light/Traffic Signal Service,STREET LIGHT SERVICE - MG&E,260000
Public Works,Public Safety,Street Light/Traffic Signal Service,TRAFFIC SIGNAL MAINTENANCE,29000
Public Works,Public Safety,"Training,Travel, Tuition",TRAINING & TRAVEL,17710
Public Works,Public Safety,"Training,Travel, Tuition",VEHICLE USE REIMBURSEMENT,500
Public Works,Public Safety,Uniforms & Protective Gear,UNIFORMS & PROTECTIVE GEAR,19570
Public Works,Public Safety,Utilities,UTILITIES,250
Public Works,Public Safety,Vehicle Expense,"VEHICLE EXPENSE (G&O, REPAIRS)",54500
